Aging cycle,SOH(%),SOC(%),R_int(%),Frequency(Hz),Zmod(Ohm),Zphz(deg),Zreal(Ohm),Zimg(Ohm),OCV(V)
0,100.0,50,0.0,3.1672298908233643,0.01707950048148632,-1.3885990381240845,0.01707448437809944,-0.00041389185935258865,3.7407407760620117
0,100.0,50,0.0,2.4854190349578857,0.017148500308394432,-1.5203770399093628,0.017142463475465775,-0.0004549920849967748,3.7407407760620117
0,100.0,50,0.0,1.9711940288543701,0.017197199165821075,-1.6253470182418823,0.017190279439091682,-0.0004877788305748254,3.7407407760620117
0,100.0,50,0.0,1.5836149454116821,0.017250100150704384,-1.7795100212097168,0.01724178157746792,-0.0005356728215701878,3.7407407760620117
0,100.0,50,0.0,1.2600810527801514,0.01729539968073368,-2.00321888923645,0.017284829169511795,-0.0006045718328095973,3.7407407760620117
0,100.0,50,0.0,1.0016030073165894,0.017366500571370125,-2.2576189041137695,0.01735302060842514,-0.0006841131253167987,3.7407407760620117
0,100.0,50,0.0,0.7971938848495483,0.017436299473047256,-2.549631118774414,0.017419038340449333,-0.0007756497943773866,3.7407407760620117
0,100.0,50,0.0,0.6334459185600281,0.01752539910376072,-2.8925580978393555,0.01750306971371174,-0.0008843880495987833,3.7407407760620117
0,100.0,50,0.0,0.5029507279396057,0.0176302008330822,-3.3228209018707275,0.017600560560822487,-0.0010218757670372725,3.7407407760620117
0,100.0,50,0.0,0.3985969126224518,0.01777300052344799,-3.736876964569092,0.017735213041305542,-0.0011583478190004826,3.7407407760620117
0,100.0,50,0.0,0.3167229890823364,0.017926599830389023,-4.226146221160889,0.017877856269478798,-0.0013210703618824482,3.7407407760620117
0,100.0,50,0.0,0.2514753043651581,0.018089499324560165,-4.725124835968018,0.0180280189961195,-0.0014901321846991777,3.7407407760620117
0,100.0,50,0.0,0.1996379941701889,0.018290499225258827,-5.284611225128174,0.018212754279375076,-0.0016846125945448875,3.7407407760620117
0,100.0,50,0.0,0.15857580304145813,0.0185077004134655,-5.864354133605957,0.01841084100306034,-0.0018909997306764126,3.7407407760620117
0,100.0,50,0.0,0.12600809335708618,0.018755199387669563,-6.475535869598389,0.018635543063282967,-0.00211519212462008,3.7407407760620117
0,100.0,50,0.0,0.10007470101118088,0.019016599282622337,-7.19205904006958,0.018866978585720062,-0.002380796940997243,3.7407407760620117
0,100.0,25,0.0,9946.650390625,0.014882000163197517,30.093170166015625,0.012876072898507118,0.007461947854608297,3.4998559951782227
0,100.0,25,0.0,7888.72021484375,0.014007399789988995,24.692859649658203,0.01272656675428152,0.0058516450226306915,3.4998559951782227
0,100.0,25,0.0,6288.10986328125,0.013396100141108036,19.704559326171875,0.012611674144864082,0.004516765475273132,3.4998559951782227
0,100.0,25,0.0,5039.06298828125,0.013038800098001957,15.287480354309082,0.012577422894537449,0.0034378396812826395,3.4998559951782227
0,100.0,25,0.0,4001.52392578125,0.012834399938583374,11.221409797668457,0.012589038349688053,0.0024975857231765985,3.4998559951782227
0,100.0,25,0.0,3164.06298828125,0.012754100374877453,7.6313982009887695,0.012641136534512043,0.0016937388572841883,3.4998559951782227
0,100.0,25,0.0,2507.26708984375,0.012782000005245209,4.6277689933776855,0.012740328907966614,0.0010312774684280157,3.4998559951782227
0,100.0,25,0.0,1979.1669921875,0.01288789976388216,2.0767109394073486,0.01287943497300148,0.0004670253547374159,3.4998559951782227
